id	text	language
ParlaMint-UA_2009-09-22-m1.u16.p1.sent4	Було запропоновано, щоб кожен народний депутат висловив персонально свою позицію не из прекрасного далёка, а у Верховній Раді України, бо дуже багато розповідають про те, що в Верховну Раду соромно ходити.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p1.sent5	Я думаю, що прийшли нормально.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p1.sent6	Але, щоб кожен депутат персонально сказав, він „за” чи „проти”, щоб ми потім прийняли рішення і не поверталися більше до цього рішення.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p2.sent1	Учора жодних заперечень з цього приводу не було.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p2.sent2	Сьогодні вранці ми прийняли постанову, заперечень не було.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p2.sent3	Скажіть, будь ласка, які ще потрібно пропозиції для того, щоб прийняти цей закон?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p3.sent1	Разом з тим я ще раз пропоную зараз поставити на переголосування.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p3.sent2	Будь ласка, сядьте на місця, переголосуємо.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p3.sent3	Ну я на переголосування поставлю.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p3.sent4	Ну що ви, шановні колеги?!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p3.sent5	Ну хочете – ну ламайте мікрофони, будь ласка.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p3.sent6	Я зараз поставлю на переголосування, щоб повернутися до розгляду питання про скасування рішення Верховної Ради України про прийняття постанови парламенту про зміну способу голосування щодо законопроектів про державні соціальні стандарти.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p3.sent7	Будь ласка.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p4.sent1	А що, система не працює?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p4.sent2	Відбувається голосування.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p4.sent3	Будь ласка.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p5.sent1	За-213	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p6.sent1	Вже краще.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u16.p6.sent2	Не повернулися.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p7.sent1	Тепер я ставлю на голосування про перенесення прийняття рішення щодо обговорених законопроектів, номери зачитаю: 4762, 5062, 5091-1, 5091-2, 5091-3 на 10-ту годину в четвер 24 вересня для повернення для розгляду цієї пропозиції.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p7.sent2	Будь ласка.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p8.sent1	За-18	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p9.sent1	Рішення не прийнято.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u17.p1.sent1	По фракціях.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u17.p1.sent2	Ну, я прошу вас, ну, що ви.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u18.p1.sent1	Шановні народні депутати, у зв’язку із тим, у зв’язку з тим.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u18.p1.sent2	що звучать погрози особисто на мою адресу і немає можливості проводити засідання.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u18.p2.sent1	Я лише одне скажу перед тим, як закрити засідання.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u18.p2.sent2	Люди добрі, схаменіться!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u18.p2.sent3	Що буде з країною в результаті, якщо підете на поводу у них!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u18.p3.sent1	Я оголошую вечірнє засідання Верховної Ради України закритим.	UKRAINIAN
